author,followers,tweet_count,created_at,date.enter,date.exit
repmattgaetz,27345,1095,1/10/17 22:32,1/3/17,NA
repmaxinewaters,673499,2037,4/30/09 15:17,1/3/91,NA
repmccarthyny,4938,186,6/1/10 17:15,1/3/97,1/3/15
repmccaul,22787,3057,3/25/09 3:54,1/3/05,NA
repmcclintock,12764,369,6/24/09 0:21,1/3/09,NA
repmceachin,4356,1530,1/3/17 7:15,1/3/17,NA
repmcgovern,35904,7077,1/24/11 19:18,1/3/97,NA
repmckinley,26841,2100,1/19/11 22:29,1/3/11,NA
repmcnerney,19104,1884,10/5/11 13:52,1/3/07,NA
repmcsally,26223,1491,1/6/15 20:39,1/3/15,NA
repmeehan,17841,546,2/7/11 21:19,1/3/11,NA
repmgriffith,22780,1083,1/4/11 19:05,1/3/11,NA
repmialove,34034,1154,1/13/15 15:44,1/3/15,NA
repmikebishop,10182,1648,12/10/14 22:19,1/3/15,NA
repmikecapuano,8039,276,6/28/16 14:57,1/3/99,NA
repmikecoffman,34418,3104,1/23/09 19:04,1/3/09,NA
repmikehonda,24412,996,10/3/08 20:18,1/3/01,1/3/17
repmikequigley,34016,4198,7/15/09 0:10,4/7/09,NA
repmikerogers,17267,2628,6/17/10 17:32,1/3/01,1/3/15
repmikerogersal,21076,3479,4/21/09 17:43,1/3/03,NA
repmiketurner,18126,1964,6/26/09 21:15,1/3/03,NA
repmimiwalters,11536,2001,6/17/09 0:59,1/3/15,NA
repmobrooks,24654,1480,1/12/11 14:46,1/3/11,NA
repmoolenaar,6786,714,7/31/14 21:09,1/3/15,NA
repmullin,14182,1053,1/4/13 12:43,1/3/13,NA
repnewhouse,8294,1080,12/18/14 20:19,1/3/15,NA
repnickrahall,1044,294,2/5/14 17:16,1/3/77,1/3/15
repohalleran,6500,1477,12/12/16 21:02,1/3/17,NA
reppaulcook,11444,1520,1/9/13 17:43,1/3/13,NA
reppaulmitchell,2948,628,12/21/16 18:01,1/3/17,NA
reppaultonko,21887,3372,10/21/09 17:24,1/3/09,NA
repperlmutter,27586,1411,2/10/09 22:17,1/3/07,NA
reppeteaguilar,7322,1251,2/4/15 21:01,1/3/15,NA
reppeteking,30824,2414,12/21/08 2:49,1/3/93,NA
reppeteolson,8604,3885,2/4/09 13:40,1/3/09,NA
reppeterdefazio,24024,1102,2/14/11 20:20,1/3/87,NA
reppittenger,12627,3503,11/15/12 19:31,1/3/13,NA
reppoliquin,7406,1313,12/19/14 21:32,1/3/15,NA
repraskin,23389,3443,12/8/16 17:00,1/3/17,NA
repratcliffe,14919,1934,10/27/14 20:20,1/3/15,NA
repraulgrijalva,30391,3381,4/3/09 16:55,1/3/03,NA
repreneeellmers,17905,177,11/9/10 12:15,1/3/11,1/3/17
repribble,10844,1061,1/4/11 18:55,1/3/11,1/3/17
reprichardhanna,12397,398,1/11/11 16:34,1/3/11,1/3/17
reprichardneal,13961,1258,12/21/11 14:18,1/3/89,NA
reprichhudson,14196,1844,11/8/12 17:41,1/3/13,NA
reprichmond,24348,2237,3/17/11 17:30,1/3/11,NA
reprichnugent,3415,68,1/10/11 17:48,1/3/11,1/3/17
reprickallen,13668,1150,1/6/15 14:45,1/3/15,NA
reprickcrawford,15403,3148,1/3/11 21:57,1/3/11,NA
repricklarsen,16260,4415,11/3/11 13:59,1/3/01,NA
